  File "C:\Users\sande\AppData\Local\Programs\Python\Python311\Lib\site-packages\chromadb\telemetry\opentelemetry\__init__.py", line 146, in wrapper
    return f(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^
  File "C:\Users\sande\AppData\Local\Programs\Python\Python311\Lib\site-packages\chromadb\api\segment.py", line 462, in _upsert
    self._validate_embedding_record(coll, r)
  File "C:\Users\sande\AppData\Local\Programs\Python\Python311\Lib\site-packages\chromadb\telemetry\opentelemetry\__init__.py", line 146, in wrapper
    return f(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^
  File "C:\Users\sande\AppData\Local\Programs\Python\Python311\Lib\site-packages\chromadb\api\segment.py", line 825, in _validate_embedding_record
    self._validate_dimension(collection, len(record["embedding"]), update=True)
  File "C:\Users\sande\AppData\Local\Programs\Python\Python311\Lib\site-packages\chromadb\telemetry\opentelemetry\__init__.py", line 146, in wrapper
    return f(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^
  File "C:\Users\sande\AppData\Local\Programs\Python\Python311\Lib\site-packages\chromadb\api\segment.py", line 840, in _validate_dimension
    raise InvalidDimensionException(
chromadb.errors.InvalidDimensionException: Embedding dimension 1024 does not match collection dimensionality 384

2026-05-13 21:56:46 | INFO     | api.main | LogManager initialized. Logs: logs
2026-05-13 21:56:46 | INFO     | api.main | Retention: 15 days
2026-05-13 21:56:46 | INFO     | api.main | ======================================================================
2026-05-13 21:56:46 | INFO     | api.main | STARTING RAG CHATBOT v3.1
2026-05-13 21:56:46 | INFO     | api.main | ======================================================================
2026-05-13 21:56:46 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: BAAI/bge-large-en-v1.5
2026-05-13 21:56:51 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-05-13 21:56:51 | INFO     | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-05-13 21:56:51 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 21:56:51 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 21:56:51 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: BAAI/bge-large-en-v1.5
2026-05-13 21:56:55 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-05-13 21:56:55 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 21:56:55 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 21:56:55 | INFO     | api.main | [OK] Retriever initialized
2026-05-13 21:56:59 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionGetEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 21:56:59 | ERROR    | api.main | [ERR] Error during startup: Embedding dimension 1024 does not match collection dimensionality 384
2026-05-13 21:56:59 | ERROR    | api.main | Traceback (most recent call last):
  File "C:\Users\sande\Desktop\AIDocBot\api\main.py", line 697, in startup_event
    num_chunks = retriever.load_and_index_documents("data/password_guide.txt")
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sande\Desktop\AIDocBot\src\retriever.py", line 141, in load_and_index_documents
    self.vector_store.add_documents(docs, embeddings)
  File "C:\Users\sande\Desktop\AIDocBot\src\vector_store.py", line 192, in add_documents
    self.collection.upsert(
  File "C:\Users\sande\AppData\Local\Programs\Python\Python311\Lib\site-packages\chromadb\api\models\Collection.py", line 300, in upsert
    self._client._upsert(
  File "C:\Users\sande\AppData\Local\Programs\Python\Python311\Lib\site-packages\chromadb\telemetry\opentelemetry\__init__.py", line 146, in wrapper
    return f(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^
